name,status,neval_obj_Float16,neval_obj_Float32,neval_obj_Float64,neval_obj_fail_Float16,neval_obj_fail_Float32,neval_obj_fail_Float64,neval_grad_Float16,neval_grad_Float32,neval_grad_Float64,neval_grad_fail_Float16,neval_grad_fail_Float32,neval_grad_fail_Float64
AMPGO02,first_order,1,3,7,0,0,0,1,5,3,0,0,0
AMPGO03,first_order,0,9,14,0,1,0,1,13,6,0,0,0
AMPGO04,first_order,0,2,4,0,0,0,1,3,3,0,0,0
AMPGO05,first_order,0,6,11,0,0,0,4,9,3,0,0,0
AMPGO06,first_order,0,0,1,0,0,0,0,0,1,0,0,0
AMPGO08,first_order,0,6,11,0,1,0,1,9,4,0,0,0
AMPGO09,first_order,0,2,3,0,0,0,1,2,3,0,0,0
AMPGO10,first_order,0,0,1,0,0,0,0,0,1,0,0,0
AMPGO11,first_order,0,0,1,0,0,0,0,0,1,0,0,0
AMPGO12,first_order,0,0,1,0,0,0,0,0,1,0,0,0
AMPGO14,first_order,2,3,5,0,0,0,2,3,2,0,0,0
AMPGO15,first_order,3,12,7,2,0,0,8,10,7,0,0,0
AMPGO20,first_order,0,0,1,0,0,0,0,0,1,0,0,0
AMPGO21,first_order,0,2,6,0,0,0,1,5,2,0,0,0
AMPGO22,first_order,1,9,7,0,0,0,6,7,3,0,0,0
BOX3,first_order,3,149,62,3,0,0,60,99,45,0,0,0
Dus2_1,first_order,4,5,4,0,0,0,6,3,3,0,0,0
Dus2_3,first_order,7,7,3,0,0,0,6,2,3,0,0,0
Dus2_9,first_order,0,3,5,0,0,0,1,4,3,0,0,0
Duscube,first_order,1,3,4,0,0,0,2,3,3,0,0,0
NZF1,first_order,1,233,2489,1,3,0,61,1772,26,0,0,0
Shpak1,first_order,1,3,7,0,0,0,1,5,3,0,0,0
Shpak2,first_order,0,5,7,0,0,0,1,8,2,0,0,0
Shpak3,first_order,0,8,6,0,0,0,2,3,6,0,0,0
Shpak4,first_order,0,2,4,0,0,0,1,2,3,0,0,0
Shpak5,first_order,8,11,5,8,0,0,2,4,2,2,0,0
Shpak6,first_order,8,15,8,8,0,0,4,9,4,4,0,0
allinitu,first_order,1,6,8,0,0,0,4,7,3,0,0,0
arglina,first_order,0,3,3,0,0,0,1,3,3,0,0,0
arglinb,first_order,0,7,2,0,0,0,5,7,2,5,0,0
arglinc,first_order,0,8,2,0,0,0,5,8,2,5,0,0
argtrig,first_order,5,27,401,0,0,0,12,276,43,0,0,0
arwhead,first_order,0,12,31,0,4,0,1,26,2,0,0,0
bard,exception,18,77,84,18,1,0,3,5,11,2,0,0
bdqrtic,first_order,11,65,32,7,0,0,32,50,16,0,0,0
beale,first_order,12,239,13,5,0,0,18,166,12,0,0,0
biggs6,exception,2,3,3,1,1,0,2,2,2,1,0,0
boxbod,exception,5,8,3,3,1,0,7,1,2,0,0,0
brownal,first_order,1,8,5,1,0,0,2,8,4,0,0,0
brownbs,max_iter,0,1145,18992,0,69,0,119,14208,2,119,0,0
brownden,first_order,0,1385,3079,0,10,0,3,3407,2,3,0,0
broyden3d,first_order,1,34,5,0,0,0,4,22,4,0,0,0
brybnd,first_order,3,7,4,0,0,0,4,6,4,0,0,0
chainwoo,first_order,17,80,13,11,0,0,48,29,10,0,0,0
chnrosnb,first_order,5,10173,412,0,6,0,224,6547,78,0,0,0
chwirut1,first_order,12,126,60,12,3,0,69,123,19,69,0,0
chwirut2,first_order,18,125,51,18,2,0,69,120,16,69,0,0
cliff,first_order,1,11,2,0,0,0,9,11,1,9,0,0
clplatea,first_order,3,368,255,3,23,0,88,363,71,0,0,0
clplateb,first_order,2,403,277,2,14,0,102,504,101,0,0,0
clplatec,max_time,9,11772,2844,9,1179,0,262,9169,148,0,0,0
cosine,first_order,1,15,29,0,0,0,5,26,3,0,0,0
cragglvy,first_order,14,44,9,9,0,0,25,15,8,0,0,0
cragglvy2,first_order,15,37,8,8,0,0,25,12,8,0,0,0
curly,max_time,2,237,12439,2,9,0,49,7871,38,0,0,0
curly10,max_time,2,237,13045,2,9,0,49,8251,38,0,0,0
curly20,max_iter,0,225,19802,0,8,0,53,13341,2163,0,0,0
curly30,max_iter,0,308,19733,0,11,0,76,12428,57,0,0,0
dixmaane,first_order,9,58,2,0,0,0,58,1,2,0,0,0
dixmaanf,first_order,8,15,2,0,0,0,17,1,2,0,0,0
dixmaang,first_order,9,13,2,0,0,0,15,1,2,0,0,0
dixmaanh,first_order,9,8,2,0,0,0,12,1,2,0,0,0
dixmaani,first_order,10,97,2,0,0,0,93,6,2,0,0,0
dixmaanj,first_order,10,16,2,1,0,0,18,1,2,0,0,0
dixmaank,first_order,10,15,2,1,0,0,16,1,2,0,0,0
dixmaanl,first_order,9,10,2,1,0,0,13,1,2,0,0,0
dixmaanm,first_order,9,168,2,1,0,0,165,2,2,0,0,0
dixmaann,first_order,9,51,2,0,0,0,51,1,2,0,0,0
dixmaano,first_order,9,27,2,0,0,0,26,1,2,0,0,0
dixmaanp,first_order,9,16,2,0,0,0,16,1,2,0,0,0
dixon3dq,first_order,11,19633,4218,3,4190,0,62,19592,23,0,0,0
dqdrtic,first_order,12,181,2,6,0,0,116,21,2,0,0,0
dqrtic,first_order,5,19,2,3,0,0,19,10,2,9,0,0
eckerle4,first_order,0,7,4,0,0,0,0,8,2,0,0,0
